Confidence,TopLeft_X,TopLeft_Y,TopRight_X,TopRight_Y,BottomRight_X,BottomRight_Y,BottomLeft_X,BottomLeft_Y,Page,Commodity Number,Commodity Description,Unit of Quantity,Rate of Duty 1930 Tariff Act,Rate of Duty Trade Agreement,Tariff Paragraph
0.984378815,481,614,1269,614,1269,647,481,647,28,,"ANIMALS,EDIBLE(EXCEPTFORBREEDING)",,,,
0.984760165,476,673,591,673,591,709,476,709,28,,Cattle:,,,,
0.999476969,240,708,418,706,418,740,240,742,28,0010 600,,,,,
0.936002374,513,706,1286,705,1286,742,513,743,28,,Weighing less than 20o pounds each (calves).(2),,,,
0.983977377,1306,704,1389,706,1388,742,1305,740,28,,,No,,,
0.880612671,1305,736,1372,736,1372,774,1305,774,28,,,Lb_,,,
0.702214777,1456,736,1588,738,1587,777,1455,775,28,,,,2lb_,,
0.874166787,1694,738,2122,738,2122,775,1694,775,28,,,,,"1 Ib. Can.,Mex., bound 1",
0.988051414,1727,771,1844,771,1844,803,1727,803,28,,,,,GATT.,
0.99934274,240,801,421,798,422,836,241,839,28,0010 700,,,,,
0.920227408,512,794,1293,794,1293,844,512,844,28,,Weighing 200 pounds and less than 700 (2),,,,
0.962161601,1306,798,1390,798,1390,835,1306,835,28,,,No,,,
0.995740175,549,837,752,837,752,865,549,865,28,,pounds each.,,,,
0.877182782,1307,830,1375,830,1375,868,1307,868,28,,,Lb.,,,
0.788588464,1457,831,1599,831,1599,870,1457,870,28,,,,21b_,,
0.844852924,1693,833,1925,833,1925,870,1693,870,28,,,,,1Ib. Mex,
0.937529624,517,866,1071,866,1071,899,517,899,28,,Weighing 700 pounds or more each:,,,,
0.999233484,2154,862,2221,862,2221,901,2154,901,28,,,,,,701
0.999898374,241,895,389,895,389,930,241,930,28,0010 800,,,,,
0.935562313,551,898,951,901,951,932,551,929,28,,Cows for dairy purposes_.,,,,
0.76110667,1218,893,1290,893,1290,932,1218,932,28,,（2）,,,,
0.988964856,1306,893,1410,893,1410,929,1306,929,28,,,No,,,
0.927972317,1308,924,1375,927,1374,962,1306,959,28,,,Lb.,,,
0.720732808,1457,926,1564,926,1564,962,1457,962,28,,,,3f 1b_.,,
0.826955974,1695,927,2133,927,2133,961,1695,961,28,,,,,"1 Ib.Can., bound GATT.",
0.999889076,241,958,390,958,390,993,241,993,28,0010 900,,,,,
0.915430486,551,959,830,959,830,993,551,993,28,,"Cattle, n.B.p.f__",,,,
0.739882231,1229,953,1290,953,1290,997,1229,997,28,,(2）,,,,
0.735751987,1307,953,1440,956,1439,996,1306,992,28,,,No,,,
0.924412251,1307,985,1380,989,1378,1027,1305,1023,28,,,Lb_,,,
0.776393175,1455,987,1573,987,1573,1026,1455,1026,28,,,,3lb_,,
0.871390402,1693,988,2124,988,2124,1025,1693,1025,28,,,,,"1 Ib.Can. Mex., bound 1",
0,1391,1002,1429,1002,1429,1016,1391,1016,28,,nan,,,,
0.964033008,1728,1020,1841,1022,1840,1055,1727,1053,28,,,,,GATT.,
0.999870896,240,1051,390,1051,390,1086,240,1086,28,0012 000,,,,,
0.994354129,477,1048,746,1051,746,1089,477,1086,28,,Sheep and lambs,,,,
0.845206738,1235,1050,1290,1050,1290,1087,1235,1087,28,,-2,,,,
0.953712046,1308,1048,1392,1048,1392,1087,1308,1087,28,,,No_,,,
0.926931322,1456,1048,1597,1052,1596,1087,1455,1083,28,,,,$3 each.,,
0.928204894,1693,1054,1977,1054,1977,1085,1693,1085,28,,,,,$1.50 each Mex._,
0.998758733,2155,1063,2224,1063,2224,1105,2155,1105,28,,,,,,702
0.99966687,239,1082,390,1081,391,1117,239,1118,28,0012 200,,,,,
0.899514675,477,1080,599,1084,598,1120,476,1116,28,,Goats.,,,,
0.957583964,1247,1078,1278,1078,1278,1116,1247,1116,28,,2,,,,
0.851459444,1308,1080,1381,1080,1381,1118,1308,1118,28,,,No_,,,
0.88532573,1456,1081,1595,1083,1594,1118,1455,1115,28,,,,$3 each_,,
0.99972254,240,1114,390,1112,391,1147,240,1150,28,0013 000,,,,,
0.984384537,477,1109,576,1114,574,1154,475,1149,28,,Hogs,,,,
0.708378375,1242,1109,1286,1109,1286,1149,1242,1149,28,,2）,,,,
0.990399182,1307,1111,1376,1111,1376,1149,1307,1149,28,,,Lb,,,
0.703427196,1455,1112,1557,1112,1557,1151,1455,1151,28,,,,2lb..,,
0.865516663,1692,1113,2099,1111,2099,1151,1693,1153,28,,,,,"1 lb. Can., bound GATT.",
0.999742687,2154,1110,2223,1110,2223,1152,2154,1152,28,,,,,,703
0.965325892,477,1141,691,1146,690,1184,476,1179,28,,"Poultry, live:",,,,
0.999771476,241,1177,390,1176,391,1211,241,1213,28,0014 000,,,,,
0.970733285,513,1175,663,1180,662,1216,512,1211,28,,Turkeys_,,,,
0.763660729,1230,1173,1292,1173,1292,1213,1230,1213,28,,(2）,,,,
0.989046216,1305,1173,1378,1173,1378,1211,1305,1211,28,,,Lb,,,
0.797210634,1455,1173,1572,1173,1572,1213,1455,1213,28,,,,8lb,,
0.923176169,1693,1178,1866,1178,1866,1209,1693,1209,28,,,,,4lb.Can,
0.849781036,1694,1210,1896,1210,1896,1239,1694,1239,28,,,,,2 lb.GATT.,
0.999820113,241,1239,390,1237,391,1273,241,1275,28,0015 000,,,,,
0.88893187,514,1237,1175,1239,1175,1276,514,1275,28,,"Chickens, ducks, geese,and guineas-----.",,,,
0.757683992,1228,1233,1292,1233,1292,1278,1228,1278,28,,(2）,,,,
0.992414594,1306,1235,1374,1235,1374,1274,1306,1274,28,,,Lb,,,
0.765679717,1454,1235,1576,1235,1576,1276,1454,1276,28,,,,8lb.,,
0.803122282,1693,1241,1859,1241,1859,1272,1693,1272,28,,,,,4 lb.Can.,
0.995592296,2152,1236,2222,1236,2222,1275,2152,1275,28,,,,,,711
0.856588006,1695,1274,1894,1274,1894,1302,1695,1302,28,,,,,2 1b. GATT,
0.999723375,241,1302,391,1299,392,1335,241,1337,28,0015 500,,,,,
0.954389215,515,1302,901,1304,900,1338,515,1336,28,,Baby chicks of poultry,,,,
0.748733819,1229,1298,1292,1298,1292,1340,1229,1340,28,,(2）,,,,
0.75049907,1306,1298,1436,1298,1436,1337,1306,1337,28,,,No-_,,,
0.756907046,1455,1298,1666,1298,1666,1339,1455,1339,28,,,,4f each__--,,
0.828691781,1694,1304,1898,1304,1898,1335,1694,1335,28,,,,,2f ea. GATT.,
0.972244024,715,1365,1040,1365,1040,1396,715,1396,28,,MEAT PRODUCTS,,,,
0.953561783,480,1426,860,1429,859,1463,480,1460,28,,"Fresh, chilled,or frozen:",,,,
0.999801934,241,1457,389,1456,390,1492,241,1493,28,0018 000,,,,,
0.938835621,514,1456,604,1458,603,1491,513,1489,28,,Beef_,,,,
0.717843294,1226,1454,1290,1454,1290,1494,1226,1494,28,,-4,,,,
0.921372712,1306,1455,1383,1455,1383,1492,1306,1492,28,,,Lb_,,,
0.830360174,1457,1455,1543,1455,1543,1492,1457,1492,28,,,,6lb,,
0.867461741,1693,1458,1881,1458,1881,1489,1693,1489,28,,,,,3elb.Cuba,
0.816833377,1695,1491,1900,1491,1900,1519,1695,1519,28,,,,,3€1b.GATT.,
0.999113142,2155,1501,2221,1501,2221,1540,2155,1540,28,,,,,,701
0.999823689,241,1519,391,1518,392,1554,241,1555,28,0019 000,,,,,
0.888521969,513,1514,605,1518,604,1555,512,1551,28,,Veal.,,,,
0.726267397,1227,1515,1293,1515,1293,1555,1227,1555,28,,（4）,,,,
0.832582235,1305,1516,1377,1516,1377,1554,1305,1554,28,,,Lb_,,,
0.895377338,1455,1516,1557,1516,1557,1556,1455,1556,28,,,,6lb,,
0.859540701,1694,1523,1905,1523,1905,1551,1694,1551,28,,,,,3 lb.Cuba_.,
0.832378209,1694,1553,1931,1553,1931,1584,1694,1584,28,,,,,3€lb.GATT..,
0.99198103,512,1579,607,1579,607,1616,512,1616,28,,Pork:,,,,
0.95027405,243,1614,394,1614,394,1647,243,1647,28,0020 100,,,,,
0.946337461,550,1613,802,1613,802,1644,550,1644,28,,Fresh or chilled,,,,
0.8492257,1309,1609,1424,1609,1424,1648,1309,1648,28,,,Lb___,,,
0.747047126,1457,1610,1567,1610,1567,1649,1457,1649,28,,,,211b,,
0.92830658,1695,1615,2121,1615,2121,1646,1695,1646,28,,,,,"1lb.Can.,boundGATT",
0.998340607,2153,1619,2226,1624,2223,1667,2151,1662,28,,,,,,703
0.999731719,241,1644,391,1642,392,1677,241,1679,28,0020 500,,,,,
0.970785797,550,1643,676,1646,675,1678,550,1675,28,,Frozen.,,,,
0.929125786,1309,1642,1436,1642,1436,1678,1309,1678,28,,,Lb,,,
0.80374068,1458,1643,1568,1643,1568,1679,1458,1679,28,,,,211b,,
0.91308707,1695,1646,1921,1646,1921,1677,1695,1677,28,,,,,1lb.GATT,
0.999838829,241,1675,391,1673,392,1708,241,1710,28,0021 000,,,,,
0.922536254,516,1673,679,1677,678,1711,515,1707,28,,Mutton_,,,,
0.878961563,1311,1673,1380,1675,1379,1710,1309,1708,28,,,Lb_,,,
0.796666622,1459,1676,1554,1676,1554,1709,1459,1709,28,,,,51b_,,
0.919849634,1695,1678,1921,1678,1921,1709,1695,1709,28,,,,,2lb.GATT,
0.999595046,241,1707,391,1705,392,1740,241,1742,28,0022 000,,,,,
0.922051251,514,1703,627,1706,626,1742,513,1739,28,,Lamb_,,,,
0.754721522,1310,1705,1396,1705,1396,1741,1310,1741,28,,,Lb...,,,
0.868751168,1458,1706,1551,1706,1551,1742,1458,1742,28,,,,71b.,,
0.869090676,1695,1709,1921,1709,1921,1740,1695,1740,28,,,,,3 lb. GATT,
0.999407053,2155,1704,2223,1704,2223,1743,2155,1743,28,,,,,,702
0.999803185,241,1737,392,1736,393,1772,241,1773,28,0023 100,,,,,
0.974059761,515,1735,691,1738,690,1772,515,1769,28,,Goat meat.,,,,
0.851959407,1310,1735,1385,1735,1385,1772,1310,1772,28,,,Lb_,,,
0.818781257,1458,1736,1550,1736,1550,1773,1458,1773,28,,,,5 1b,,
0.858242035,1694,1740,1921,1739,1922,1771,1694,1772,28,,,,,2 Ib.GATT,
0.999783218,242,1768,391,1767,392,1803,242,1804,28,0023 200,,,,,
0.947744548,516,1768,758,1771,758,1802,516,1799,28,,Reindeer meat_,,,,
0.90745163,1309,1766,1379,1766,1379,1803,1309,1803,28,,,Lb_,,,
0.744395971,1458,1768,1546,1768,1546,1804,1458,1804,28,,,,6 1b,,
0.999732375,242,1799,391,1798,392,1834,242,1835,28,0023 300,,,,,
0.928032756,514,1798,686,1801,685,1835,514,1832,28,,Venison__,,,,
0.77793479,1309,1795,1386,1799,1384,1837,1307,1833,28,,,Lb.,,,
0.704004586,1458,1799,1554,1799,1554,1836,1458,1836,28,,,,6 1b_,,
0.809297442,1693,1802,1876,1800,1877,1831,1694,1833,28,,,,,3elb.U.K,
0,1872,1814,1885,1814,1885,1823,1872,1823,28,,nan,,,,
0.924789011,1696,1833,1924,1833,1924,1864,1696,1864,28,,,,,1Ib.GATT.,
0.998992026,2158,1831,2223,1831,2223,1866,2158,1866,28,,,,,,704
0.979213417,245,1863,390,1863,390,1895,245,1895,28,0023 500,,,,,
0.919438839,516,1860,1187,1861,1187,1898,516,1897,28,,"Game (except birds), n. s. p.f. (specify by",,,,
0.711595118,1230,1859,1295,1859,1295,1898,1230,1898,28,,（4）,,,,
0.701790035,1309,1860,1435,1860,1435,1896,1309,1896,28,,,Lb.__.,,,
0.736893594,1457,1860,1572,1860,1572,1899,1457,1899,28,,,,6 lb__,,
0.860703349,1695,1865,1923,1865,1923,1895,1695,1895,28,,,,,3Ib.GATT_,
0.979925334,548,1895,660,1895,660,1927,548,1927,28,,name).,,,,
0.999812961,244,1923,391,1923,391,1958,244,1958,28,0023 600,,,,,
0.945812881,515,1923,1292,1923,1292,1960,515,1960,28,,"Edible offal: Livers,kidneys,tongues, hearts,(4)",,,,
0.819547653,1308,1920,1435,1920,1435,1959,1308,1959,28,,,Lb_____,,,
0.814587355,1457,1922,1549,1922,1549,1959,1457,1959,28,,,,6 lb,,
0.90471065,1695,1926,1875,1926,1875,1957,1695,1957,28,,,,,3 lb.Can_,
0.957290113,549,1957,1026,1958,1026,1989,549,1988,28,,"sweetbreads, tripe, and brains.",,,,
0.907663763,1457,1953,1619,1953,1619,1992,1457,1992,28,,,,20% min.,,
0.959504902,1696,1958,1926,1958,1926,1988,1696,1988,28,,,,,15%min.Can,
0.867147624,1697,1991,1920,1991,1920,2018,1697,2018,28,,,,,1 Ib. GATT,
0.999477804,2156,1982,2225,1982,2225,2024,2156,2024,28,,,,,,706
0.974279046,1697,2023,1969,2023,1969,2050,1697,2050,28,,,,,7%min.GATT,
0.993805349,242,2048,435,2042,436,2080,243,2086,28,0023 800,,,,,
0.961862326,519,2049,964,2049,964,2084,519,2084,28,,Frog legs (C.D.610-4/6/42),,,,
0.77943176,1235,2048,1294,2048,1294,2085,1235,2085,28,,-4,,,,
0.775509298,1309,2047,1432,2047,1432,2084,1309,2084,28,,,Lb____,,,
0.998714209,1457,2046,1559,2046,1559,2086,1457,2086,28,,,,10%,,
0.930721402,1696,2053,2067,2053,2067,2084,1696,2084,28,,,,,8%bound Cuba GATT.,
0.999552608,2157,2045,2241,2045,2241,2087,2157,2087,28,,,,,,1558
0.999813437,243,2080,392,2077,393,2112,243,2115,28,0023 900,,,,,
0.925108075,519,2082,791,2082,791,2116,519,2116,28,,"Meats, n. s. p.f_.",,,,
0.6588431,1234,2080,1289,2080,1289,2115,1234,2115,28,,（4）,,,,
0.896325767,1309,2080,1432,2080,1432,2116,1309,2116,28,,,Lb___,,,
0.781124651,1458,2080,1590,2080,1590,2115,1458,2115,28,,,,61b___,,
0.992107689,2143,2085,2226,2085,2226,2136,2143,2136,28,,,,,,706
0.995854199,1458,2108,1619,2112,1618,2151,1457,2147,28,,,,20%min,,
0.972004473,517,2142,903,2144,902,2178,517,2176,28,,"Birds, including poultry:",,,,
0.974032342,551,2173,987,2175,987,2209,551,2207,28,,"Dead, dressed or undressed:",,,,
0.939278722,244,2203,393,2203,393,2238,244,2238,28,0024 000,,,,,
0.959189653,585,2202,730,2206,730,2242,584,2238,28,,Turkeys_,,,,
0.72100693,1233,2202,1295,2202,1295,2241,1233,2241,28,,(4）,,,,
0.995851994,1309,2201,1370,2201,1370,2240,1309,2240,28,,,Lb,,,
0.859533906,1458,2202,1563,2202,1563,2241,1458,2241,28,,,,101b,,
0.953402162,245,2234,392,2234,392,2269,245,2269,28,0025 400,,,,,
0.938829839,588,2234,953,2238,953,2273,588,2269,28,,Chickens and guineas_.,,,,
0.81448561,1234,2234,1293,2234,1293,2273,1234,2273,28,,-4,,,,
0.995290518,1309,2235,1370,2235,1370,2270,1309,2270,28,,,Lb,,,
0.745506167,1458,2234,1562,2234,1562,2273,1458,2273,28,,,,101b,,
0.901312292,1695,2237,1891,2237,1891,2271,1695,2271,28,,,,,6lb.Can__,
0.854257882,1697,2270,1899,2270,1899,2301,1697,2301,28,,,,,3 1b.GATT.,
0.999864221,245,2297,392,2297,392,2332,245,2332,28,0025 500,,,,,
0.855611503,587,2296,912,2299,911,2336,587,2333,28,,Ducks and geese---.,,,,
0.747127533,1228,2294,1295,2294,1295,2337,1228,2337,28,,-4,,,,
0.941738844,1308,2296,1392,2296,1392,2335,1308,2335,28,,,Lb__,,,
0.807529569,1458,2296,1573,2296,1573,2335,1458,2335,28,,,,101b_,,
0.863212705,1697,2303,1885,2303,1885,2331,1697,2331,28,,,,,6lb.Can..,
0.832560599,1698,2334,1908,2334,1908,2362,1698,2362,28,,,,,3e lb.GATT_,
0.938775539,245,2359,393,2359,393,2394,245,2394,28,0025 900,,,,,
0.887176931,588,2358,1293,2358,1293,2398,588,2398,28,,"Birds, n.s. p.f. (including game birds)_- (4)",,,,
0.800281286,1308,2357,1438,2357,1438,2396,1308,2396,28,,,Lb._-_,,,
0.737734854,1458,2359,1625,2359,1625,2398,1458,2398,28,,,,101b___,,
0.77888453,1697,2363,1890,2363,1890,2394,1697,2394,28,,,,,5€ lb. U.K.,
0.998411894,2156,2375,2225,2375,2225,2413,2156,2413,28,,,,,,712
0.826468229,1697,2395,1920,2394,1921,2426,1697,2427,28,,,,,2 1b.GATT,
0.989435136,483,2421,837,2423,837,2457,483,2455,28,,Prepared or preserved:,,,,
0.994246066,243,2452,431,2448,432,2486,244,2490,28,0026 500,,,,,
0.919290125,517,2453,1290,2453,1290,2490,517,2490,28,,"Turkeys, prepared or preserved, n. s. p. f. (4)",,,,
0.738679826,1309,2451,1438,2451,1438,2490,1309,2490,28,,,Lb____,,,
0.796569169,1458,2452,1580,2452,1580,2491,1458,2491,28,,,,10lb_,,
0.94969219,553,2485,986,2487,986,2521,553,2519,28,,(forimerly part of 0026000).,,,,
0.950682282,244,2515,431,2510,432,2548,245,2553,28,0026 900,,,,,
0.944015086,517,2516,1289,2516,1289,2553,517,2553,28,,"Birds, including poultry, prepared or pre- (4)",,,,
0.77704525,1309,2512,1438,2519,1436,2558,1307,2552,28,,,Lb..-.,,,
0.756567776,1457,2515,1589,2515,1589,2554,1457,2554,28,,,,10lb_,,
0.811509132,1694,2519,1925,2515,1926,2549,1695,2553,28,,,,,5€lb.GATTj,
0.906844199,552,2549,1218,2549,1218,2582,552,2582,28,,"served,n.e. s. (formerly part of 0026 000).",,,,
0.962544203,248,2578,392,2578,392,2610,248,2610,28,0028 000,,,,,
0.884922028,514,2572,1298,2572,1298,2622,514,2622,28,,"Canned beef, including corned beef___(4)",,,,
0.73946923,1307,2574,1440,2574,1440,2616,1307,2616,28,,,Lb___--,,,
0.674621701,1456,2577,1554,2577,1554,2614,1456,2614,28,,,,6 lb_,,
0.846678555,1697,2582,2097,2582,2097,2613,1697,2613,28,,,,,"3 Ib. Arg.,Urug., Para.-",
0.923377872,1457,2606,1625,2610,1624,2650,1456,2645,28,,,,20%min.,,
0.938633144,1695,2613,2137,2614,2137,2645,1695,2644,28,,,,,"20%min. Arg.,Urug.,Para.",
0.998935461,2158,2625,2223,2625,2223,2663,2158,2663,28,,,,,,706
0.977158248,248,2641,392,2641,392,2673,248,2673,28,0029 000,,,,,
0.926138699,1308,2637,1440,2637,1440,2679,1308,2679,28,,,Lb_____,,,
0.716492772,1456,2640,1545,2640,1545,2677,1456,2677,28,,,,6 1b,,
0.845897675,1696,2644,2133,2646,2133,2676,1696,2674,28,,,,,"3eIb.Arg., Urug.,Para__.",
0.866378129,1457,2672,1662,2672,1662,2710,1457,2710,28,,,,20%min___,,
0.900908709,1695,2674,2140,2676,2140,2710,1695,2708,28,,,,,"20%min. Arg.,Urug., Para.",
0.859219491,270,2715,1237,2718,1237,2749,270,2746,28,,"For erplanation of superior notations against commodity numberε and GATTrates,",,,,
